img_name,image
Asian Elephant (27).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (27).jpg
Asian Elephant (28).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (28).jpg
Asian Elephant (29).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (29).jpg
Asian Elephant (3).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (3).jpg
Asian Elephant (30).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (30).jpg
Asian Elephant (31).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (31).jpg
Asian Elephant (32).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (32).jpg
Asian Elephant (34).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (34).jpg
Asian Elephant (36).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (36).jpg
Asian Elephant (37).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (37).jpg
Asian Elephant (38).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (38).jpg
Asian Elephant (39).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (39).jpg
Asian Elephant (4).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (4).jpg
Asian Elephant (40).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (40).jpg
Asian Elephant (41).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (41).jpg
Asian Elephant (42).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (42).jpg
Asian Elephant (43).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (43).jpg
Asian Elephant (44).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (44).jpg
Asian Elephant (45).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (45).jpg
Asian Elephant (47).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (47).jpg
Asian Elephant (48).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (48).jpg
Asian Elephant (49).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (49).jpg
Asian Elephant (5).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (5).jpg
Asian Elephant (50).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (50).jpg
Asian Elephant (51).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (51).jpg
Asian Elephant (52).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (52).jpg
Asian Elephant (53).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (53).jpg
Asian Elephant (54).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (54).jpg
Asian Elephant (55).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (55).jpg
Asian Elephant (56).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (56).jpg
Asian Elephant (57).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (57).jpg
Asian Elephant (58).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (58).jpg
Asian Elephant (59).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (59).jpg
Asian Elephant (60).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (60).jpg
Asian Elephant (61).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (61).jpg
Asian Elephant (62).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (62).jpg
Asian Elephant (63).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (63).jpg
Asian Elephant (64).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (64).jpg
Asian Elephant (65).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (65).jpg
Asian Elephant (66).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (66).jpg
Asian Elephant (67).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (67).jpg
Asian Elephant (68).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (68).jpg
Asian Elephant (69).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (69).jpg
Asian Elephant (7).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (7).jpg
Asian Elephant (70).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (70).jpg
Asian Elephant (71).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (71).jpg
Asian Elephant (72).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (72).jpg
Asian Elephant (73).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (73).jpg
Asian Elephant (74).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (74).jpg
Asian Elephant (75).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (75).jpg
Asian Elephant (77).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (77).jpg
Asian Elephant (78).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (78).jpg
Asian Elephant (79).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (79).jpg
Asian Elephant (8).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (8).jpg
Asian Elephant (80).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (80).jpg
Asian Elephant (82).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (82).jpg
Asian Elephant (83).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (83).jpg
Asian Elephant (84).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (84).jpg
Asian Elephant (85).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (85).jpg
Asian Elephant (86).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (86).jpg
Asian Elephant (87).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (87).jpg
Asian Elephant (88).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (88).jpg
Asian Elephant (9).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (9).jpg
Asian Elephant (90).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (90).jpg
Asian Elephant (91).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (91).jpg
Asian Elephant (93).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (93).jpg
Asian Elephant (94).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (94).jpg
Asian Elephant (95).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (95).jpg
Asian Elephant (96).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (96).jpg
Asian Elephant (98).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (98).jpg
Asian Elephant (99).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (99).jpg
Asiatic Golden Cat (1).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (1).jpg
Asiatic Golden Cat (10).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (10).jpg
Asiatic Golden Cat (100).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (100).jpg
Asiatic Golden Cat (101).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (101).jpg
Asiatic Golden Cat (102).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (102).jpg
Asiatic Golden Cat (104).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (104).jpg
Asiatic Golden Cat (105).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (105).jpg
Asiatic Golden Cat (106).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (106).jpg
Asiatic Golden Cat (107).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (107).jpg
Asiatic Golden Cat (108).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (108).jpg
Asiatic Golden Cat (110).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (110).jpg
Asiatic Golden Cat (111).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (111).jpg
Asiatic Golden Cat (112).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (112).jpg
Asiatic Golden Cat (113).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (113).jpg
Asiatic Golden Cat (12).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (12).jpg
Asiatic Golden Cat (13).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (13).jpg
Asiatic Golden Cat (14).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (14).jpg
Asiatic Golden Cat (15).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (15).jpg
Asiatic Golden Cat (16).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (16).jpg
Asiatic Golden Cat (17).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (17).jpg
Asiatic Golden Cat (18).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (18).jpg
Asiatic Golden Cat (19).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (19).jpg
Asiatic Golden Cat (2).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (2).jpg
Asiatic Golden Cat (20).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (20).jpg
Asiatic Golden Cat (22).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (22).jpg
Asiatic Golden Cat (23).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (23).jpg
Asiatic Golden Cat (24).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (24).jpg
Asiatic Golden Cat (25).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (25).jpg
Asiatic Golden Cat (26).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (26).jpg
Asiatic Golden Cat (28).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (28).jpg
Asiatic Golden Cat (29).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (29).jpg
Asiatic Golden Cat (3).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (3).jpg
Asiatic Golden Cat (30).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (30).jpg
Asiatic Golden Cat (31).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (31).jpg
Asiatic Golden Cat (32).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (32).jpg
Asiatic Golden Cat (33).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (33).jpg
Asiatic Golden Cat (34).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (34).jpg
Asiatic Golden Cat (36).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (36).jpg
Asiatic Golden Cat (38).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (38).jpg
Asiatic Golden Cat (4).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (4).jpg
Asiatic Golden Cat (40).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (40).jpg
Asiatic Golden Cat (42).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (42).jpg
Asiatic Golden Cat (43).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (43).jpg
Asiatic Golden Cat (44).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (44).jpg
Asiatic Golden Cat (45).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (45).jpg
Asiatic Golden Cat (46).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (46).jpg
Asiatic Golden Cat (47).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (47).jpg
Asiatic Golden Cat (48).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (48).jpg
Asiatic Golden Cat (5).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (5).jpg
Asiatic Golden Cat (50).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (50).jpg
Asiatic Golden Cat (51).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (51).jpg
Asiatic Golden Cat (52).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (52).jpg
Asiatic Golden Cat (53).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (53).jpg
Asiatic Golden Cat (54).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (54).jpg
Asiatic Golden Cat (55).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (55).jpg
Asiatic Golden Cat (56).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (56).jpg
Asiatic Golden Cat (57).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (57).jpg
Asiatic Golden Cat (59).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (59).jpg
Asiatic Golden Cat (6).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (6).jpg
Asiatic Golden Cat (60).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (60).jpg
Asiatic Golden Cat (62).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (62).jpg
Asiatic Golden Cat (63).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (63).jpg
Asiatic Golden Cat (64).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (64).jpg
Asiatic Golden Cat (66).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (66).jpg
Asiatic Golden Cat (67).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (67).jpg
Asiatic Golden Cat (68).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (68).jpg
Asiatic Golden Cat (69).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (69).jpg
Asiatic Golden Cat (7).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (7).jpg
Asiatic Golden Cat (70).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (70).jpg
Asiatic Golden Cat (71).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (71).jpg
Asiatic Golden Cat (72).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (72).jpg
Asiatic Golden Cat (73).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (73).jpg
Asiatic Golden Cat (74).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (74).jpg
Asiatic Golden Cat (75).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (75).jpg
Asiatic Golden Cat (76).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (76).jpg
Asiatic Golden Cat (77).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (77).jpg
Asiatic Golden Cat (78).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (78).jpg
Asiatic Golden Cat (79).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (79).jpg
Asiatic Golden Cat (8).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (8).jpg
Asiatic Golden Cat (80).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (80).jpg
Asiatic Golden Cat (81).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (81).jpg
Asiatic Golden Cat (82).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (82).jpg
Asiatic Golden Cat (83).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (83).jpg
Asiatic Golden Cat (84).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (84).jpg
Asiatic Golden Cat (85).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (85).jpg
Asiatic Golden Cat (86).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (86).jpg
Asiatic Golden Cat (87).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (87).jpg
Asiatic Golden Cat (88).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (88).jpg
Asiatic Golden Cat (89).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (89).jpg
Asiatic Golden Cat (9).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (9).jpg
Asiatic Golden Cat (90).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (90).jpg
Asiatic Golden Cat (91).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (91).jpg
Asiatic Golden Cat (92).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (92).jpg
Asiatic Golden Cat (93).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (93).jpg
Asiatic Golden Cat (94).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (94).jpg
Asiatic Golden Cat (95).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (95).jpg
Asiatic Golden Cat (96).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (96).jpg
Asiatic Golden Cat (97).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (97).jpg
Asiatic Golden Cat (98).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (98).jpg
Asiatic Golden Cat (99).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Golden Cat (99).jpg
Asiatic Lion (0).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (0).jpg
Asiatic Lion (1).jpeg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (1).jpeg
Asiatic Lion (10).jpeg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (10).jpeg
Asiatic Lion (10).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (10).jpg
Asiatic Lion (100).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (100).jpg
Asiatic Lion (101).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (101).jpg
Asiatic Lion (102).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (102).jpg
Asiatic Lion (103).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (103).jpg
Asiatic Lion (104).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (104).jpg
Asiatic Lion (105).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asiatic Lion (105).jpg
